model_type,iteration,train_acc,dev_acc,test_acc
tree,0,0.9832985386221295,0.8333333333333334,0.7722222222222223
tree,0,1.0,0.8083333333333333,0.7222222222222222
tree,0,0.9981447124304267,0.7996289424860853,0.75
tree,0,0.9977728285077951,0.7538247566063978,0.7111111111111111
tree,0,1.0,0.7944444444444444,0.7722222222222223
tree,0,1.0,0.8083333333333333,0.7583333333333333
tree,0,0.9977728285077951,0.7717996289424861,0.7055555555555556
tree,0,1.0,0.7691237830319889,0.7027777777777777
tree,0,1.0,0.8166666666666667,0.7722222222222223
tree,0,0.9977703455964325,0.7916666666666666,0.7166666666666667
tree,0,1.0,0.7903525046382189,0.7037037037037037
tree,0,1.0,0.6662030598052852,0.6777777777777778
tree,0,1.0,0.8,0.721835883171071
tree,0,1.0,0.8,0.7204450625869263
tree,0,1.0,0.6549165120593692,0.6828929068150209
tree,0,1.0,0.5173852573018081,0.6397774687065368
