model_type,iteration,train_acc,dev_acc,test_acc
LR,0,0.9582463465553236,0.8555555555555555,0.9111111111111111
LR,0,0.9554494828957836,0.8861111111111111,0.9111111111111111
LR,0,0.9545454545454546,0.9090909090909091,0.9055555555555556
LR,0,0.9487750556792873,0.9068150208623088,0.9055555555555556
LR,0,0.9554494828957836,0.9333333333333333,0.875
LR,0,0.9545032497678737,0.9444444444444444,0.8722222222222222
LR,0,0.9487750556792873,0.9369202226345084,0.8611111111111112
LR,0,0.9707520891364902,0.9165507649513213,0.8555555555555555
LR,0,0.9545032497678737,0.9611111111111111,0.8907407407407407
LR,0,0.9487179487179487,0.9472222222222222,0.8796296296296297
LR,0,0.9707520891364902,0.9128014842300557,0.8796296296296297
LR,0,0.9591078066914498,0.8762169680111266,0.8777777777777778
LR,0,0.9487750556792873,0.9388888888888889,0.8984700973574409
LR,0,0.9707520891364902,0.9,0.894297635605007
LR,0,0.9591836734693877,0.8571428571428571,0.8901251738525731
LR,0,0.9665738161559888,0.8205841446453408,0.8609179415855355
